"protein","entry_name","description","gene_names","family","expression_tissue"
"A0A1B0GTQ4","MYMX_HUMAN","Protein myomixer","MYMX","TM","Brain\Kidney\Liver\Lung\MAT\Pancreas\Small"
"A0AV02","S12A8_HUMAN","Solute carrier family 12 member 8","SLC12A8 CCC9","TM(Trans)","Heart\Pancreas\Small\Stomach"
"A0AVI4","TM129_HUMAN","E3 ubiquitin-protein ligase TM129","TMEM129","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A0FGR8","ESYT2_HUMAN","Extended synaptotagmin-2","ESYT2 FAM62B KIAA1228","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A0FGR9","ESYT3_HUMAN","Extended synaptotagmin-3","ESYT3 FAM62C","TM(Trans)","Brain\Eye\Lung\Prostate\Skin\Stomach\Testis\Urinary"
"A0PJW6","TM223_HUMAN","Transmembrane protein 223","TMEM223","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A0PJX4","SHSA3_HUMAN","Protein shisa-3 homolog","SHISA3","TM","Adrenal\Brain\Eye\Kidney\Lung\MAT\SCAT\Skin\Small\Spleen\Thymus\Urinary"
"A0PJX8","TMM82_HUMAN","Transmembrane protein 82","TMEM82","TM","Adrenal\Kidney\Liver\Lung\Small\Spleen\Stomach\Testis\Thymus"
"A0PJZ3","GXLT2_HUMAN","Glucoside xylosyltransferase 2","GXYLT2 GLT8D4","TM","Adrenal\BAT\Eye\GAT\MAT\Prostate\SCAT\Skin\Thymus\Tongue\Urinary"
"A0PK00","T120B_HUMAN","Transmembrane protein 120B","TMEM120B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"A0PK05","TMM72_HUMAN","Transmembrane protein 72","TMEM72 C10orf127 KSP37","TM","Brain\Eye\Kidney\Muscle"
